,P value,Reactome_ID,FDR,Description
R-HSA-168138,0.0011783476653300076,R-HSA-168138,0.004682381512232398,Toll Like Receptor 9 (TLR9) Cascade
R-HSA-168164,0.0012599876353127826,R-HSA-168164,0.004878413664928979,Toll Like Receptor 3 (TLR3) Cascade
R-HSA-2454202,0.00140387064909136,R-HSA-2454202,0.005299611700319884,Fc epsilon receptor (FCERI) signaling
R-HSA-373752,0.0014530666585188766,R-HSA-373752,0.005351538181374399,Netrin-1 signaling
R-HSA-5688890,0.0016920473773159906,R-HSA-5688890,0.005677758977215879,Defective CSF2RA causes SMDP4
R-HSA-5263617,0.0016920473773159906,R-HSA-5263617,0.005677758977215879,Metabolism of ingested MeSeO2H into MeSeH
R-HSA-5688849,0.0016920473773159906,R-HSA-5688849,0.005677758977215879,Defective CSF2RB causes SMDP5
R-HSA-5687613,0.0016920473773159906,R-HSA-5687613,0.005677758977215879,Diseases associated with surfactant metabolism
R-HSA-2559583,0.0018607727007694096,R-HSA-2559583,0.006108188648177844,Cellular Senescence
R-HSA-449147,0.0026351226414073783,R-HSA-449147,0.00846603231601094,Signaling by Interleukins
R-HSA-9658195,0.002796037515055032,R-HSA-9658195,0.008795868016110622,Leishmania infection
R-HSA-139910,0.0033814222971310978,R-HSA-139910,0.010211895337335915,Activation of BMF and translocation to mitochondria
R-HSA-111446,0.0033814222971310978,R-HSA-111446,0.010211895337335915,Activation of BIM and translocation to mitochondria 
R-HSA-1566977,0.005068128679291424,R-HSA-1566977,0.014621905219088474,Fibronectin matrix formation
R-HSA-1474244,0.005132191898090657,R-HSA-1474244,0.014621905219088474,Extracellular matrix organization
R-HSA-2408550,0.005068128679291424,R-HSA-2408550,0.014621905219088474,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
R-HSA-6807062,0.006752170438607098,R-HSA-6807062,0.01853777702235767,Cholesterol biosynthesis via lathosterol
R-HSA-6807047,0.006752170438607098,R-HSA-6807047,0.01853777702235767,Cholesterol biosynthesis via desmosterol
R-HSA-69620,0.008192919512673449,R-HSA-69620,0.022091622257387335,Cell Cycle Checkpoints
R-HSA-5686938,0.008433551483877985,R-HSA-5686938,0.02234151358009782,Regulation of TLR by endogenous ligand
R-HSA-1280215,0.009194371408614543,R-HSA-1280215,0.023937070391393034,Cytokine Signaling in Immune system
R-HSA-2262752,0.01022689411167999,R-HSA-2262752,0.025737683514394642,Cellular responses to stress
R-HSA-1266738,0.01005945105574959,R-HSA-1266738,0.025737683514394642,Developmental Biology
R-HSA-8953897,0.010496553591594758,R-HSA-8953897,0.025983272005423087,Cellular responses to external stimuli
R-HSA-8957275,0.012021473278369764,R-HSA-8957275,0.029278104274739265,Post-translational protein phosphorylation
R-HSA-2408522,0.013436272626356893,R-HSA-2408522,0.03127272572276771,Selenoamino acid metabolism
R-HSA-5336415,0.013461769350860272,R-HSA-5336415,0.03127272572276771,Uptake and function of diphtheria toxin
R-HSA-354194,0.013461769350860272,R-HSA-354194,0.03127272572276771,GRB2:SOS provides linkage to MAPK signaling for Integrins 
R-HSA-450341,0.015132546528497291,R-HSA-450341,0.03462143220913774,Activation of the AP-1 family of transcription factors
R-HSA-391160,0.01680068245901988,R-HSA-391160,0.03624147216160002,Signal regulatory protein family interactions
R-HSA-381426,0.01673840469751773,R-HSA-381426,0.03624147216160002,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
R-HSA-372708,0.01680068245901988,R-HSA-372708,0.03624147216160002,p130Cas linkage to MAPK signaling for integrins
R-HSA-446652,0.01673840469751773,R-HSA-446652,0.03624147216160002,Interleukin-1 family signaling
R-HSA-168249,0.01904443085169821,R-HSA-168249,0.040502944487414504,Innate Immune System
R-HSA-114608,0.023032143062823085,R-HSA-114608,0.048303522256753974,Platelet degranulation 
R-HSA-76005,0.024895636464731363,R-HSA-76005,0.05149645350923884,Response to elevated platelet cytosolic Ca2+
R-HSA-1428517,0.028803222084112092,R-HSA-1428517,0.058774142360823324,The citric acid (TCA) cycle and respiratory electron transport
R-HSA-71403,0.03497696066260252,R-HSA-71403,0.07042028080070642,Citric acid cycle (TCA cycle)
R-HSA-354192,0.03661370258749369,R-HSA-354192,0.07180089728196815,Integrin signaling
R-HSA-191273,0.03661370258749369,R-HSA-191273,0.07180089728196815,Cholesterol biosynthesis
R-HSA-2129379,0.0382478532675807,R-HSA-2129379,0.07404392106929085,Molecules associated with elastic fibres
R-HSA-114452,0.039879416511030705,R-HSA-114452,0.0762252138375397,Activation of BH3-only proteins
R-HSA-499943,0.041508396123376076,R-HSA-499943,0.07834709768287233,Interconversion of nucleotide di- and triphosphates
R-HSA-5663205,0.04358283716776581,R-HSA-5663205,0.0812470174362054,Infectious disease
R-HSA-1566948,0.04799855417054135,R-HSA-1566948,0.08838758146038712,Elastic fibre formation
R-HSA-168256,0.05423197337817894,R-HSA-168256,0.09787618153327296,Immune System
R-HSA-3299685,0.05444767714433727,R-HSA-3299685,0.09787618153327296,Detoxification of Reactive Oxygen Species
R-HSA-8854214,0.05605357443218814,R-HSA-8854214,0.09957752634424011,TBC/RABGAPs
