,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C,Abundance: 131N,Abundance: 131C,Abundance: 132C,p_value0Control_Mix2,fold_change0Control_Mix2,q_value0Control_Mix2,Gene_Symbol,Protein_Name,Organism,Mass
A0PJW6,296.5608810474291,283.34416038237555,305.45137691665263,274.83301835642476,274.75204532079294,267.64947486181046,319.1356492445749,288.066058519247,307.8,315.80650361308267,280.90478076230306,288.9282692061158,0.7136001977796087,0.08492933831873836,0.9999874507963832,TMEM223,Transmembrane protein 223,Homo sapiens (Human),"22,049"
A0PJZ3,17.79081767277837,14.97689648535847,14.388589040423625,18.3995100896847,16.43190198407648,17.540329004944386,16.122751967779415,11.783449353118913,18.4,18.088759271584877,17.859995320072358,15.394694926115477,0.8344872447273034,-0.04441031446626494,0.9999874507963832,GXYLT2,Glucoside xylosyltransferase 2 (EC 2.4.2.42) (Glycosyltransferase 8 domain-containing protein 4),Homo sapiens (Human),"51,056"
A1A4S6,63.79177651593838,66.64718935984519,73.47364616386531,76.92232159342973,64.39708955702847,71.7558913838634,73.4059413121251,67.55844295788177,67.0,76.42085912444801,82.97094913256913,74.7515598989731,0.4947109789333126,-0.06788880301833025,0.9999874507963832,ARHGAP10,Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10),Homo sapiens (Human),"89,375"
A1A5C7,127.22915427345488,129.9245770104847,152.84049103045731,129.41504155517725,124.27041662451362,129.55924833197557,133.06012359290892,119.95551441475054,129.8,145.45685781233158,135.16375099025635,128.39492984770538,0.9363337516461605,-0.06575245667164505,0.9999874507963832,SLC22A23,Solute carrier family 22 member 23,Homo sapiens (Human),"73,748"
A1L020,213.0645335632342,194.9804711187606,217.97181695280045,188.55632398630664,210.35495576376448,220.05140024384772,198.59436835605936,230.7984946630891,202.20000000000002,205.44847686442267,177.12607009178558,179.4196145770469,0.6778752294217665,0.05261037931463872,0.9999874507963832,MEX3A,RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4),Homo sapiens (Human),"54,173"
A1L0T0,2704.98396353084,2501.6097410700313,2630.9688130510776,2607.4734298524604,2653.9184852257617,2513.9277902495514,2607.807710929592,2496.677248938835,2625.099999999999,2640.9588536513916,2666.5146410880843,2512.826853249344,0.7368260755385518,-0.03866854779973294,0.9999874507963832,ILVBL,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),Homo sapiens (Human),"67,868"
A1L188,31.470609747862934,35.570129152726366,33.13967582182675,22.34226225175999,39.2502921886847,24.63618937512643,32.71970252284646,31.343975279296306,30.4,51.776999015912665,21.241256569988966,32.85259638872066,0.1616584089665184,-0.08360390454997813,0.9144736457033629,NDUFAF8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,Homo sapiens (Human),"7,756"
A1L190,131.69457862957057,163.62259410254126,151.7690003572343,133.20317598540643,141.83325923097593,125.09443731253518,157.52877069695063,125.14023213012285,149.1,142.96757901348963,140.799186406784,145.69412311519596,0.93338836070459,-0.043994677892576085,0.9999874507963832,SYCE3,Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2),Homo sapiens (Human),"10,601"
A1L390,191.58796880286823,204.90266504031052,212.5378285385979,228.67962540036697,199.51123097265327,210.6434055957412,202.10343790198786,200.08297001595915,205.3,219.55439005786047,223.68343653294502,192.1162701862143,0.8972386345197123,-0.011411400716631943,0.9999874507963832,PLEKHG3,Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3),Homo sapiens (Human),"134,412"
A1X283,2820.1635600179516,2867.1396209158124,2914.2250260223964,2887.2542156279596,2750.6471713992314,2828.138865742669,2821.955792948686,2700.37381008975,2669.0000000000005,2685.5999201106233,2710.817833362633,2648.3636518772064,0.242174728735152,-0.11902576303818661,0.9999874507963832,SH3PXD2B,SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains),Homo sapiens (Human),"101,579"
A2RRP1,1570.2700188156653,1533.2597776885736,1596.444568054236,1566.4322413327368,1539.5428166619347,1548.5718648319762,1589.32398515322,1580.7104525563914,1505.6,1631.2243968811333,1519.400087302272,1484.2390407116698,0.8839151239042371,-0.011969508031542944,0.9999874507963832,NBAS,Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein),Homo sapiens (Human),"268,571"
A2RU67,128.71762905882676,134.8856739712597,132.9413785277438,127.6369376389472,139.17222247242103,134.26324565602886,132.49108528816376,133.46720300632688,125.8,143.88031457306502,133.94996490054268,127.44268067701782,0.5959804616807585,-0.01774150742556735,0.9999874507963832,FAM234B,Protein FAM234B,Homo sapiens (Human),"67,039"
A2RUC4,35.08547708376611,44.275450234840974,48.21708029503662,42.36525852582864,43.04226956962543,38.827910115490525,48.178576468423195,43.284537290456804,46.7,47.13034525807435,35.89338865296095,38.804153705517884,0.16555052407132576,0.13446800232208092,0.9240368886098321,TYW5,tRNA wybutosine-synthesizing protein 5 (hTYW5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase),Homo sapiens (Human),"36,548"
A2RUS2,299.89222937659474,273.4219664608255,282.33779239426997,307.4573597759497,289.6538511687003,280.72499284731447,299.9780263181546,294.2720085118896,289.79999999999995,323.6062438494542,292.17565159535843,273.9303447677868,0.3671438821800983,0.10637539227234581,0.9999874507963832,DENND3,DENN domain-containing protein 3,Homo sapiens (Human),"135,890"
A2VDF0,44.866882816209994,37.34863561036269,37.0429632742821,43.834126978366484,42.90921773169769,40.90085808880213,40.97075794165122,29.537179711818073,43.5,48.54093657741813,39.44804791569379,43.32733726628377,0.85421427721606,0.04413816202204403,0.9999874507963832,FUOM,Fucose mutarotase (EC 5.1.3.29),Homo sapiens (Human),"16,765"
A3KMH1,3553.556350696191,3581.818400076511,3657.5334130468336,3602.283916550202,3564.2591603273904,3548.4085577002493,3601.6331101670075,3585.467969167022,3462.8000000000006,3653.5144930603383,3649.3345777305126,3479.4391155947706,0.9593001008258589,0.0053879707165485295,0.9999874507963832,VWA8,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),Homo sapiens (Human),"214,824"
A3KN83,1604.717578134272,1623.3083678067908,1709.9460443677908,1677.988934859691,1657.1606413900613,1633.6424605059565,1669.8429052746596,1665.9440695439516,1684.1999999999998,1687.7310256148457,1746.1179890595015,1639.77307192397,0.8936087406332452,-0.020297495880527712,0.9999874507963832,SBNO1,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),Homo sapiens (Human),"154,312"
A4D1E9,1764.5514181825401,1749.0206926807684,1808.7527914485718,1769.5226321125758,1843.4332144889038,1783.6920022664353,1845.3912222885403,1748.8209966608886,1813.9999999999998,1825.7200470306511,1767.5326436423065,1709.92209416462,0.8194065375161576,-0.039091090203229886,0.9999874507963832,GTPBP10,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),Homo sapiens (Human),"42,933"
A4D1P6,396.50133092239923,405.593077944114,408.5440866903261,408.9639007329078,380.6613083112777,402.7100081998822,384.10085570298014,393.0958704200469,389.9,430.31332835981266,398.8154294773438,405.3407303226694,0.37019407780694413,-0.055476957596167185,0.9999874507963832,WDR91,WD repeat-containing protein 91,Homo sapiens (Human),"83,344"
A4FU01,57.90875712613517,50.827842447185304,52.65611308410348,64.47559417981948,61.070793608834855,57.723628179907884,50.64440912231887,59.46714106874011,49.7,55.34496529425281,54.62037403711449,64.75294360675377,0.6107061807862009,0.0691298847823454,0.9999874507963832,MTMR11,Myotubularin-related protein 11 (Cisplatin resistance-associated protein) (hCRA) (Inactive phosphatidylinositol 3-phosphatase 11),Homo sapiens (Human),"79,545"
A5D8V6,133.60833192504873,143.68460065640784,134.16593929714156,137.9190168067122,125.20177949000782,125.17416608073948,121.86903693292086,125.37590111718524,141.9,124.46393994209775,133.77656688772643,123.63368399426761,0.978896762791961,0.0075988182132978865,0.9999874507963832,VPS37C,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C),Homo sapiens (Human),"38,659"
A5PLL7,121.06261587691415,121.96810075263802,140.5948833364798,129.26042382333117,120.94412067632,130.75517985503996,123.48131212969881,114.37801505427424,123.5,129.19356965989746,124.673171214874,121.17370696999143,0.9416074285052384,-0.013507879720535246,0.9999874507963832,PEDS1,Plasmanylethanolamine desaturase (EC 1.14.19.77) (Plasmanylethanolamine desaturase 1) (Transmembrane protein 189),Homo sapiens (Human),"31,135"
A5PLN9,176.98673995588683,173.91921043622523,175.03565497579166,175.49112564531205,178.95472201281672,170.14119134796053,179.81610429946926,169.83878334295392,172.5,180.4727129160418,182.93490352112948,181.56217521109392,0.8149646515686189,-0.012618988661291932,0.9999874507963832,TRAPPC13,Trafficking protein particle complex subunit 13,Homo sapiens (Human),"46,524"
A5YKK6,8209.292840084428,8482.5397468949,8353.188218350615,8499.02748411587,8281.345970379723,8359.720803756492,8372.829616020223,8178.656527012777,8244.7,8203.252329663741,8496.676026008403,8515.488208873463,0.8194618967018246,-0.015907261696097862,0.9999874507963832,CNOT1,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),Homo sapiens (Human),"266,939"
A6ND36,168.97732801555233,163.06096048434034,199.37380026757202,171.54837348323676,187.27046188330075,181.78159150578728,179.62642486455417,176.35895865167973,178.09999999999997,187.35971759283782,184.3220876236594,183.7047358451409,0.8140470518474732,0.03140357134033583,0.9999874507963832,FAM83G,Protein FAM83G (Protein associated with SMAD1),Homo sapiens (Human),"90,835"
A6NDG6,1929.134201593661,1990.2423316980733,1943.684081226587,1944.6272134282726,1930.2495387367571,1948.7305524493213,1997.324449655497,1994.0738558638031,1959.0000000000002,1954.830640730588,2119.7040076720828,2057.969166050922,0.9392392366157205,-0.011687827911119863,0.9999874507963832,PGP,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),Homo sapiens (Human),"34,006"
A6NDU8,925.1225189844753,1037.524504023208,971.9951107094683,984.8376429936695,857.8517250391344,912.8146671709466,904.6760648273402,848.8011350696656,906.3,861.0415365194324,917.1887887914829,856.3894208383414,0.47976191645658295,-0.12015443989035601,0.9999874507963832,C5orf51,UPF0600 protein C5orf51,Homo sapiens (Human),"33,620"
A6NED2,234.68285782696884,222.3133072045398,248.58583618774435,225.89650622713737,211.15326679133096,208.96910146345107,222.3991374378984,215.24434151697216,214.5,217.23106317894133,241.10993682097677,211.1612535999654,0.04991432615305998,-0.15638426067545017,0.4090111943235942,RCCD1,RCC1 domain-containing protein 1,Homo sapiens (Human),"40,079"
A6NEE1,34.80195807702861,35.00849553452542,32.374325340953156,29.454677916680126,29.337930263067722,30.934762063265552,33.28874082759162,25.687919589799233,24.0,28.211826386875494,26.09640092884359,30.868743949788254,0.0341362163441526,-0.31418830382824553,0.30027666770258565,PLEKHD1,Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1),Homo sapiens (Human),"59,203"
A6NFA1,7.442373926859478,7.301237036612253,10.638371684143,7.576268860458406,6.186910463640133,10.285011098353754,3.7935886983010385,13.98302656570111,9.9,7.633788316448662,5.89553243575204,6.18961960946911,0.937629109814831,-0.04617089629737577,0.9999874507963832,TRABD2B,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)",Homo sapiens (Human),"57,421"
A6NGR9,103.27179820413579,101.00044567313617,100.03130785017915,87.43632735896384,102.18381152850799,94.23940401747393,100.43526078752,97.17417899872063,95.6,105.5454210708989,86.17881236966952,91.01914989821883,0.934354888673935,-0.046740102191432875,0.9999874507963832,MROH6,Maestro heat-like repeat-containing protein family member 6,Homo sapiens (Human),"77,186"
A6NHL2,138.92431330137694,145.7439239231446,139.9826029517809,172.7080064720824,163.65376065112608,155.79001307118784,129.83557319935306,151.6922713391508,168.8,131.01904077904825,138.2849152209486,155.3753230171861,0.8186518893132637,0.05676100524236249,0.9999874507963832,TUBAL3,Tubulin alpha chain-like 3,Homo sapiens (Human),"49,909"
A6NHQ2,223.48385706083747,201.6264689341384,230.67663493530216,204.48195036645387,200.70869751400295,211.04204943676268,193.75754276572556,187.12117572752834,209.5,176.7387947177788,189.2639309889221,196.56009964942285,0.29667159421131595,-0.09383602714523441,0.9999874507963832,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase),Homo sapiens (Human),"34,803"
A6NHR9,4511.212675703793,4465.73610952176,4687.465555158432,4539.112753805661,4364.499439543812,4649.622304137937,4753.271799253744,4702.146186197592,4634.4000000000015,4839.406912828645,4618.716168379682,4566.748960324843,0.5223097191450112,0.0467153567082669,0.9999874507963832,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),Homo sapiens (Human),"226,374"
A6NIH7,206.33095715321846,186.8367836548469,196.92467872877657,202.2399932546856,195.71925359171257,193.10307659079683,194.42142078792827,184.84304218592533,207.70000000000002,197.06790490832145,199.5811127514882,187.98985711323488,0.6256476134907859,0.05404942480369135,0.9999874507963832,UNC119B,Protein unc-119 homolog B,Homo sapiens (Human),"28,137"
A6NJ78,372.11869634297386,342.3156902934745,397.44650471765897,379.1999873525355,336.62114995719423,374.1671091827455,337.72423386624996,359.70943058621003,331.6,370.4876612276443,346.44922960684056,315.7499541804819,0.5914210778111859,-0.054518849598889516,0.9999874507963832,METTL15,12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15),Homo sapiens (Human),"46,121"
A6NKD9,27.005185391747247,23.120583949272138,26.481126638226456,20.641467201453,23.151019799427587,22.563241401814825,31.01258760861099,25.76647591882002,30.6,29.871345586103466,32.68552541586058,28.250058730397477,0.24394187294647152,0.22048759149325348,0.9999874507963832,CCDC85C,Coiled-coil domain-containing protein 85C,Homo sapiens (Human),"45,210"
A6NKF1,225.68112936305312,228.9593050199176,233.66150181070918,239.11632229997804,235.30217537521662,210.16503298651543,247.15230369431265,228.2061358054029,246.6,235.40279841048755,232.17993916094065,230.4442993063884,0.2731848846871662,0.08858776966998914,0.9999874507963832,SAC3D1,SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1),Homo sapiens (Human),"43,553"
A6NMT0,332.922193661514,301.69085857693966,289.8382271068312,300.88610617249094,301.22936106841416,314.370533029526,275.13002034428285,245.56708451899814,294.6,269.33996603469956,288.3608953134013,274.40646935313055,0.05925705378613398,-0.1828385748472865,0.4694129547285068,DBX1,Homeobox protein DBX1 (Developing brain homeobox protein 1),Homo sapiens (Human),"37,283"
A6NNY8,41.11025597693806,51.483081668419736,51.508087362793084,51.02385150920966,52.755053738350796,45.52512664465111,45.61790409706999,47.05524108345485,52.8,55.01306145440721,58.08833429343922,51.26274702201339,0.8819258222839688,0.018699259102129478,0.9999874507963832,USP27X,Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27),Homo sapiens (Human),"49,630"
A7E2V4,21.051286250259665,17.50424776726271,24.950425676479266,22.264953385836947,19.425568337450734,23.838901693083503,21.43377614540087,22.074328454842764,20.9,24.560884148573958,23.061935704559453,18.013380145506254,0.814643544835421,0.03502688474129941,0.9999874507963832,ZSWIM8,Zinc finger SWIM domain-containing protein 8,Homo sapiens (Human),"197,297"
A8CG34,99.51517136486387,106.33596504604513,111.8942403037199,120.29259537625794,113.36016591443854,110.6635302675582,122.72259439003861,127.8111473168298,117.6,119.56835830437524,118.08404672785703,105.62030384876135,0.12362641283817656,0.2317819930273508,0.773518723374824,POM121C,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),Homo sapiens (Human),"125,092"
A8MPP1,270.12273366915684,283.43776598540904,281.64897696148375,276.3018868089627,248.54083324902723,257.8428363726825,254.54980165599972,262.29958260042696,258.4,273.73769191265364,262.0043973653333,247.90220076899357,0.17131586590888082,-0.1429868821999264,0.9413656474200347,DDX11L8,Putative ATP-dependent RNA helicase DDX11-like protein 8 (EC 3.6.4.13) (DEAD/H box protein 11-like 8),Homo sapiens (Human),"101,811"
A8MQ03,58.05051662950393,46.42837910461125,47.22212466990094,50.48268944774835,34.39390010432202,64.02220086804701,38.88428415758565,61.823830939363894,30.5,45.80272989869198,35.719990640144715,31.9797013155904,0.4019972361811811,-0.26520643309591296,0.9999874507963832,CYSRT1,Cysteine-rich tail protein 1,Homo sapiens (Human),"15,313"
A8MT69,67.47752360352592,62.71575403243859,68.80500823053637,65.8671537664343,61.27037136572647,68.96538449671314,64.49100787111766,66.30154169354908,63.3,64.14041705016105,70.8330882354326,56.89688794858143,0.8803255335298232,-0.043419346091672605,0.9999874507963832,CENPX,Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog),Homo sapiens (Human),"8,959"
A8MTT3,118.01478655448601,121.50007273747059,106.76639208186678,109.39204528110861,109.3686107766062,114.0918673003428,108.1172779015796,107.54361442946526,101.4,109.36231522912323,111.2348252216157,120.22145779930388,0.1063397788610308,-0.10989141941959409,0.7019059323032868,CEBPZOS,Protein CEBPZOS (CEBPZ antisense RNA 1) (CEBPZ opposite strand),Homo sapiens (Human),"9,336"
A8MUU9,9.072608215600125,7.114025830545272,9.107670722395806,8.73590184930408,4.8563920843626835,6.378301456343413,15.933072532864363,5.263274044393114,1.0,23.48219666907578,14.045239038115154,2.142560634047,0.4221265710159574,-0.9364508647337506,0.9999874507963832,nan,Putative uncharacterized protein ENSP00000383309,Homo sapiens (Human),"55,306"
A8MVM7,267.8545816152568,247.96124243571614,267.030782776798,258.4435387807393,261.7129652038739,260.8725295644456,277.5958529981785,240.22525414558424,269.8,262.9508171176719,291.4820595440935,257.4246924758691,0.9251759627888338,0.006897838440081887,0.9999874507963832,nan,Putative uncharacterized protein ENSP00000382790,Homo sapiens (Human),"73,452"
A8MW92,118.44006506459226,130.48621062868565,116.94555347748565,118.8237269237201,117.0856173764154,114.0121385321385,114.6612184061489,114.9279093574198,123.5,125.37667550167315,127.4475394199338,108.08028087303754,0.19567437947401933,-0.10940366702712546,0.9999874507963832,PHF20L1,PHD finger protein 20-like protein 1,Homo sapiens (Human),"115,010"
A8MW99,12.829235054872052,13.01117882165517,13.546703511462669,20.100305139991686,14.50265033412418,13.474161826525458,17.071149142354674,13.276019604513973,16.5,12.363418034248378,12.658054935585263,12.458593316495516,0.037077669977299714,0.2419067371314488,0.3201111117533342,MEI4,Meiosis-specific protein MEI4,Homo sapiens (Human),"44,024"
A8MXV4,510.61773113424454,465.12624147341387,503.75368651100155,483.18041201903094,435.74476921336407,520.4693988376225,449.72994018358816,568.2764841364148,433.1,521.3379564374668,464.53327633469746,441.60555290635375,0.6906433245463615,-0.07115877673549689,0.9999874507963832,NUDT19,Nucleoside diphosphate-linked moiety X motif 19 (Nudix motif 19) (EC 3.6.1.-),Homo sapiens (Human),"42,233"
A9UHW6,274.1628795151663,302.53330900424106,294.7364701844222,291.76365999357165,292.0487842513998,280.5655353109059,282.62235802342735,258.45032247840817,291.6,275.5631630318045,291.82885556972593,266.23299730472905,0.5889101504670771,-0.09416533580348091,0.9999874507963832,MIF4GD,MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1),Homo sapiens (Human),"25,423"
B2RTY4,83.63810698756365,87.989266851481,98.80674708078138,96.09492034234486,97.79310087689241,89.45567792521636,98.06426785108185,94.1890384959305,98.7,101.06471923298338,109.15404906782086,88.00369419104157,0.14291541138675792,0.10874642883018144,0.8452248923570427,MYO9A,Unconventional myosin-IXa (Unconventional myosin-9a),Homo sapiens (Human),"292,706"
B3KNS4,53.726851776756995,51.483081668419736,49.51817611252173,49.245747592979626,45.23762489543322,58.20200078913364,50.928928274691444,49.33337462505785,43.300000000000004,47.37927313795855,54.88047105633884,42.6131503882681,0.38383781991813626,-0.23725129436441894,0.9999874507963832,,,,
